date,sector,sectorMarketCap,x,y,width,height
2025-05-08,Consumer Staples,2350761268355.711,817.1868198400902,425.8696304985689,218.60946107659927,294.1303695014311
2025-05-08,Industrials,1562790366179.0,1035.7962809166895,425.8696304985689,244.2037190833105,175.04461191536228
2025-05-08,Energy,687479913118.3887,1035.7962809166895,600.9142424139311,157.90667365944142,119.08575758606882
2025-05-08,Materials,212667969021.60645,1193.7029545761309,600.9142424139311,86.29704542386911,67.40722556339638
2025-05-08,Utilities,163044367357.08154,1193.7029545761309,668.3214679773275,86.2970454238711,51.67853202267246
2025-05-09,Information Technology,13007284883591.574,0.0,0.0,494.4168170760255,720.0
2025-05-09,Communication Services,4481559566367.018,494.4168170760255,0.0,323.99152777641405,378.5598911505136
2025-05-09,Consumer Discretionary,4042119151887.1655,494.4168170760255,378.5598911505136,323.99152777641405,341.4401088494864
2025-05-09,Financials,3729844995915.839,818.4083448524395,0.0,240.3346421309863,424.73053769978065
2025-05-09,Health Care,3433771991810.3926,1058.742986983426,0.0,221.25701301657418,424.73053769978065
2025-05-09,Consumer Staples,2337073171392.3086,818.4083448524395,424.73053769978065,216.61715887627415,295.26946230021935
2025-05-09,Industrials,1568451420894.4531,1035.0255037287136,424.73053769978065,244.9744962712863,175.22225991207063
2025-05-09,Energy,695256639989.6133,1035.0255037287136,599.9527976118513,158.50106340032488,120.04720238814873
2025-05-09,Materials,212400514815.3076,1193.5265671290385,599.9527976118513,86.47343287096145,67.22207955612733
2025-05-09,Utilities,166910684090.55493,1193.5265671290385,667.1748771679787,86.47343287095926,52.825122832021385
2025-05-12,Information Technology,13604810985504.28,0.0,0.0,498.4923222831586,720.0
2025-05-12,Communication Services,4629665129849.608,498.4923222831586,0.0,327.1615294820277,373.3239110209119
2025-05-12,Consumer Discretionary,4299200113140.407,498.4923222831586,373.3239110209119,327.1615294820277,346.67608897908804
2025-05-12,Financials,3825231790808.8135,825.6538517651863,0.0,236.45859173382624,426.7771073419924
2025-05-12,Health Care,3524804921816.667,1062.1124434990127,0.0,217.88755650098742,426.7771073419924
2025-05-12,Consumer Staples,2338342561499.367,825.6538517651863,426.7771073419924,210.38206740703652,293.2228926580076
2025-05-12,Industrials,1618098160222.7756,1036.0359191722227,426.7771073419924,243.9640808277772,174.97557630690108
2025-05-12,Energy,708513339358.9453,1036.0359191722227,601.7526836488935,158.0720901437042,118.24731635110652
2025-05-12,Materials,213226350426.6357,1194.108009315927,601.7526836488935,85.891990684073,65.4917602116876
2025-05-12,Utilities,171760152177.56226,1194.108009315927,667.2444438605811,85.89199068407369,52.75555613941891
2025-05-13,Information Technology,13915356286743.74,0.0,0.0,504.4541624732726,720.0
2025-05-13,Communication Services,4684169533999.588,504.4541624732726,0.0,328.38347835457284,372.3155560852425
2025-05-13,Consumer Discretionary,4374281044701.287,504.4541624732726,372.3155560852425,328.38347835457284,347.6844439147574
2025-05-13,Financials,3867814919295.414,832.8376408278455,0.0,447.16235917215454,225.76692688172622
2025-05-13,Health Care,3411610503787.073,832.8376408278455,225.76692688172622,266.49807116887615,334.13752293354867
2025-05-13,Consumer Staples,2312797912224.367,1099.3357119967216,225.76692688172622,180.6642880032784,334.13752293354867
2025-05-13,Industrials,1642334755987.4102,832.8376408278455,559.9044498152749,267.75790338503936,160.09555018472508
2025-05-13,Energy,711043730052.8633,1100.5955442128848,559.9044498152749,115.92495237645208,160.09555018472508
2025-05-13,Materials,211466752281.00583,1216.5204965893367,559.9044498152749,63.4795034106631,86.94977263039124
2025-05-13,Utilities,177894657508.02466,1216.5204965893367,646.8542224456662,63.4795034106631,73.14577755433476
2025-05-14,Information Technology,14078730513061.434,0.0,0.0,507.7527577880938,720.0
2025-05-14,Communication Services,4761338261530.902,507.7527577880938,0.0,330.47866325976014,374.1165341355445
2025-05-14,Consumer Discretionary,4402019236751.1875,507.7527577880938,374.1165341355445,330.47866325976014,345.88346586445545
2025-05-14,Financials,3880718417894.5117,838.2314210478539,0.0,441.76857895214613,228.1069932264678
2025-05-14,Health Care,3321398910751.6475,838.2314210478539,228.1069932264678,260.3678408437459,331.24931481098923
2025-05-14,Consumer Staples,2314050045544.4688,1098.5992618915998,228.1069932264678,181.40073810840022,331.24931481098923
2025-05-14,Industrials,1640537216751.4065,838.2314210478539,559.356308037457,265.1817924189226,160.64369196254296
2025-05-14,Energy,705695100058.3086,1103.4132134667766,559.356308037457,114.07086021814432,160.64369196254296
2025-05-14,Materials,209261382759.52148,1217.484073684921,559.356308037457,62.5159263150792,86.91999875682697
2025-05-14,Utilities,177491051576.37207,1217.484073684921,646.276306794284,62.5159263150792,73.72369320571268
2025-05-15,Information Technology,14074581368618.64,0.0,0.0,506.8158174693454,720.0
2025-05-15,Communication Services,4741567349382.758,506.8158174693454,0.0,327.3254329740397,375.56865900195015
2025-05-15,Consumer Discretionary,4348457629346.5215,506.8158174693454,375.56865900195015,327.3254329740397,344.43134099804996
2025-05-15,Financials,3907649883395.8945,834.1412504433852,0.0,445.85874955661495,227.22992342530344
2025-05-15,Health Care,3350709312732.8726,834.1412504433852,227.22992342530344,261.99013306488223,331.5881395699704
2025-05-15,Consumer Staples,2351578200258.336,1096.1313835082674,227.22992342530344,183.8686164917327,331.5881395699704
2025-05-15,Industrials,1664747569604.698,834.1412504433852,558.8180629952739,267.78064896991623,161.18193700472614
2025-05-15,Energy,711402317143.6758,1101.9218994133014,558.8180629952739,114.43162773841485,161.18193700472614
2025-05-15,Materials,213132501552.9785,1216.3535271517162,558.8180629952739,63.64647284828388,86.82054588784419
2025-05-15,Utilities,182546989835.4934,1216.3535271517162,645.6386088831181,63.64647284828388,74.36139111688101
2025-05-16,Information Technology,14089770867080.217,0.0,0.0,504.2331904957366,720.0
2025-05-16,Communication Services,4774211073078.81,504.2331904957366,0.0,327.785911350679,375.2937463583129
