date,symbol,marketCap,changePct
2025-05-02,C,130797132981.4961,3.5955402881113736
2025-05-02,CAT,152231558344.75,3.0959362610677985
2025-05-02,CMCSA,128337999498.49805,1.8923695902527828
2025-05-02,COIN,43323636601.04883,1.8032735067023833
2025-05-02,COO,16419919850.465332,1.429632327871775
2025-05-02,COST,447157845620.0625,1.0583917315084408
2025-05-02,CRL,5818245777.033234,1.3431428719497924
2025-05-02,CRM,262976467163.08594,2.1349275189070642
2025-05-02,CSCO,234946807250.97656,2.081904544747181
2025-05-02,CVX,237026798378.75586,1.643926635544633
2025-05-02,DE,130449248579.95312,0.3437407715984728
2025-05-02,DECK,17475046204.833984,5.22811601870132
2025-05-02,DHR,142454118868.85156,1.189566497902857
2025-05-02,DIS,166273895139.43164,1.8500169038015744
2025-05-02,DXCM,32003775069.914062,16.16851731419694
